handle,title,template_suffix,collections,vendor,product_type,tags,variant_count,price,inventory,published_at
1-4t-baby-sandals-summer-breathable-air-mesh-unisex-kids-casual-shoes-anti-slip-soft-sole-first-walkers-infant-lightweight-shoes-1,נעלי מים לילדים מונעות החלקה,shoes,נעליים,BABY MANIA,,,48,119.00,100,2025-10-12
2023-baby-girls-walking-shoes-kids-pu-leather-big-flower-summer-princess-non-slip-shoes-party-wedding-baby-girls-dance-shoes,נעלי בובה חגיגיות לבנות,shoes,נעליים,BABY MANIA,,,30,149.00,98,2024-08-20
2023-winter-snow-baby-boots-multiple-colors-warm-fluff-balls-indoor-colloidal-particle-sole-infant-newborn-toddler-baby-shoes,נעל חורף מחממת ואלגנטית צעד ראשון,shoes,נעליים,BABY MANIA,,,9,139.00,46,2024-08-26
